eng,hin
I buried my dog at the pet cemetery.,मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।
I came here for you.,मैं आपके लिए यहाँ आई थी _
I came to Japan from China.,मैं चीन से जापान आयी।
I can come if you want.,आप चाहें तो मैं आ सकता हूँ।
I can come if you want.,तुम चाहो तो मैं आ सकती हूँ।
I can drive a car.,मैं गाड़ी चला सकता हूँ।
I can eat.,मैं खा सकता हूँ।
I can eat.,मैं खा सकती हूँ।
I can hear you.,मुझे आप सुनाई दे रहीं हैं।
I can hear you.,मुझे तुम सुनाई दे रही हो।
I can hear you.,मुझे तुम सुनाई दे रहे हो।
I cannot make such a mistake. Russian is my native tongue.,मैं ऐसी गलती नहीं कर सकता। रूसी मेरी मातृ भाषा है।
I cannot stand his arrogance any longer.,मैं उसके अक्खड़पन अब और बर्दाश्त नहीं कर सकता।
I cannot tolerate naughty children.,मैं नटखट बच्चों को बर्दाश्त नहीं कर सकता।
I cannot tolerate noisy children.,मुझसे शोर मचाते हुए बच्चे सहे नहीं जाते।
I cannot touch fire.,मैं आग को हाथ नहीं लगा सकता।
I cannot understand what happened.,मुझे समझ में नहीं आ रहा क्या हुआ।
I cannot walk any farther.,मैं और नहीं चल सकती।
I can run.,मैं दौड़ सकता हूँ।
I can run.,मैं दौड़ सकती हूँ।
I can run.,मैं भाग सकता हूँ।
I can run.,मैं भाग सकती हूँ।
I can swim.,मुझे तैरना आता है।
I can swim.,मैं तैर सकता हूँ।
I can't accept your gift.,मैं यह आपका उपहार स्वीकार नहीं कर सकता।
I can't accept your gift.,मैं यह आपका उपहार स्वीकार नहीं कर सकती।
I can't accept your gift.,मैं यह तुम्हारा उपहार स्वीकार नहीं कर सकता।
I can't allow you to do that.,मैं तुम्हें यह करने नहीं दे सकता।
I can't bear the sight of him.,मुझे उसको देखा नहीं जाता।
I can't believe it's that simple.,इतना आसान है कि मुझे यकीन ही नहीं हो रहा।
I can't do this without you.,मैं यह तुम्हारे सिवा नहीं कर सकती।
I can't drink coffee as sweet as this.,मैं इतनी मीठी कॉफ़ी नहीं पी सकता।
I can't drink milk.,मैं दूध नहीं पी सकती।
"I can't even speak English very well, much less Spanish.","स्पेनी छोड़िए, मैं तो अंग्रेज़ी भी अच्छी तरह से नहीं बोल पाती।"
"I can't even speak English very well, much less Spanish.","स्पेनी छोड़ो, मैं तो अंग्रेज़ी भी अच्छी तरह से नहीं बोल पाता।"
"I can't even speak English very well, much less Spanish.","स्पेनी छोड़ो, मैं तो अंग्रेज़ी भी अच्छी तरह से नहीं बोल पाती।"
I can't find my umbrella.,मुझे मेरा छाता नहीं मिल रहा।
I can't forget her eyes.,मैं उसकी आँखें नहीं भूल सकता।
I can't give you that information.,मैं आपको वह जानकारी नहीं दे सकता।
I can't give you that information.,मैं आपको वह जानकारी नहीं दे सकती।
I can't give you that information.,मैं तुम्हें वह जानकारी नहीं दे सकता।
I can't give you that information.,मैं तुम्हें वह जानकारी नहीं दे सकती।
I can't go to the mall.,मैं मॉल नहीं जा सकता।
I can't go to the mall.,मैं मॉल नहीं जा सकती।
I can't help.,मैं मदद नहीं कर सकता।
I can't let you leave.,आपको जाने नहीं दे सकता हूँ।
I can't lie to Tom.,मैं टॉम से झूठ नहीं बोल सकती।
I can't live without him.,मैं उसके बिना नहीं जी सकती।
I can't live without you.,मैं तुम्हारे बगैर जी नहीं सकती।
I can't make it this time.,मैं इस बार नहीं आ सकता।
I can't put up with that noise any longer.,मैं इस शोर को और बर्दाश्त नहीं कर सकता।
I can't save you this time.,मैं आपको इस बार बचा नहीं सकती।
I can't see through walls.,मैं दीवारों के पार नहीं देख सकता।
I can't speak.,मैं बोल नहीं पा रहा हूँ.
I can't stand it anymore.,मुझसे और सहन नहीं होगा!
I can't take any more work.,मुझसे और काम नहीं किया जाएगा।
I can't talk.,मैं बात नहीं कर सकता।
I can't tell anyone.,मैं किसी को नहीं बता सकता।
I can't tell anyone.,मैं किसी को नहीं बता सकती।
I can't wait another week.,मैं और एक हफ़्ता नहीं रुक सकता।
I can't walk any further.,मुझसे और नहीं चला जाएगा।
I categorically refused.,मैंने सरासर इनकार कर दिया।
I chose to leave instead of staying behind.,मैंने रहने की बजाय जाने का इरादा किया।
I clean up my room every Sunday.,मैं हर रविवार अपना कमरा साफ़ करता हूँ।
I closed my phone.,मैंने मेरा फ़ोन बंद किया।
I consider making mistakes an important part of the learning process.,मैं मानता हूं कि गलतियां करना यह सीखने की प्रक्रिया का एक महत्त्वपूर्ण हिस्सा होता है।
I cooked dinner.,मैंने रात का खाना पकाया।
I could not bear to see the scene.,मैं वह द्रिश्य देख नहीं सका।
I could not tell what I should do then.,मैं बता नहीं पाया के तब मुझे क्या करना होगा.
I couldn't ask for a better holiday!,सोच भी नहीं सकता था कि छुट्टी इतनी अच्छी जाएगी।
I couldn't make out what he wanted to say.,मैं समझ नहीं पा रहा था कि वह कहना क्या चाहता था।
I count to ten.,मैं दस तक गिनती हूं।
I cover twenty miles a day.,मैं रोज़ बीस मील चलता हूँ।
I cried all night.,मैं पूरी रात रोई।
I'd caught him red-handed.,मैंने उसे रंगे हाथों पकड़ा था।
I'd help you if I could.,अगर हो सकता तो मैं तुम्हारी मदद करती।
I did not have sex with him.,मैंने उसके साथ सेक्स नहीं किया।
I did not understand.,मुझे समझ नहीं आया।
I did not understand.,मैं नहीं समझा।
I didn't answer a single question.,मैंने एक भी सवाल का जवाब नहीं दिया।
I didn't go out last Sunday.,मैं पिछले रविवार बाहर नहीं निकला था।
I didn't have any friends in Boston.,मेरे बास्टन में कोई दोस्त नहीं थे।
I didn't know him very well.,मैं उन्हें अच्छी तरह से नहीं जानता।
I didn't know him very well.,मैं उसे अच्छी तरह से नहीं जानता।
I didn't know him very well.,मैं उसे अच्छी तरह से नहीं जानती।
I didn't know that then.,वह मुझे तब पता नहीं था।
I didn't know Tom last year.,पिछले साल मैं टॉम को जानता नहीं था।
I didn't know what to say to him.,मुझे समझ में नहीं आ रहा था कि उससे क्या कहूँ।
I didn't listen.,मैंने नहीं सुना।
I didn't listen.,मैंने नहीं सुनी।
I didn't recognize Tom.,मैंने टॉम को पहचाना नहीं।
I didn't see you.,मैने आपको देखा नही।
I didn't see you.,मैने तुम्हें देखा नही।
I didn't sleep last night.,मैं कल रात सोई नहीं।
I didn't want this to happen.,मैं नहीं चाहता था कि ऐसा हो।
I didn't want to cry in front of him.,मुझे उसके सामने नहीं रोना था।
I didn't want to spend any more time in jail.,मैं जेल में और वक्त नहीं बिताना चाहता था।
Idiot!,मूर्ख!
I dived into the river.,मैंने नदी में छलाँग लगाकर डुबकी ली।
I'd like a map of the city.,मैं शहर का नक्शा खरीदना चाहता हूँ।
I'd like to see her.,मैं उससे मिलना चाहूँगा।
I'd like to see her.,मैं उसे देखना चाहूँगा।
I'd like to see him tomorrow afternoon.,मैं उससे कल दोपहर को मिलना चाहता हूँ।
I'd like to talk to the hotel manager.,मैं होटल मेनेजर से बात करना चाहूंगी.
I'd like to talk to you.,मुझे आपसे बात करनी है।
I'd like to talk to you.,मुझे तुमसे बात करनी है।
I'd like to talk to you.,मैं आपसे बात करना चाहता हूं।
I do a lot of things.,मैं बहुत सारे चीज़ें करता हूँ।
I do not know for certain what she is going to do.,मुझे ठीक से नहीं पता वह क्या करने वाली है।
I do not like wearing anybody else's clothes.,मुझे किसी और के कपड़े पहनना अच्छा नहीं लगता।
I do not like you.,मैं तुम्हें पसंद नहीं करती ।
I don't believe him at all.,मैं उसका बिलकुल भी यकीन नहीं करता।
I don't believe in God.,मैं भगवान में यकीन नहीं करता।
I don't completely trust him.,मेरा उन पर पूरा विश्वास नहीं है।
I don't completely trust him.,मेरा उस पर पूरा विश्वास नहीं है।
I don't distrust you.,मैं तुमसे बदगुमानी नहीं करता।
I don't do stuff like that.,मैं वैसी चीजें नहीं करती।
I don't drink wine.,मैं वाइन नहीं पीता।
I don't exist to you.,मैं तुम्हारी आँखों में मर चुका हूँ।
I don't feel like eating now.,मुझे अभी खाना खाने का मन नहीं है।
I don't feel like studying English today.,मेरा आज अंग्रेज़ी पढ़ने का मन नहीं है।
I don't feel like walking that far.,मुझे इतना दूर चलने का मन नहीं है।
I don't have a lover.,मेरा कोई प्रेमी नहीं है।
I don't have four sisters.,मेरे पास चार बहने नहीं है।
"I don't have money, but I do have a dream!","मेरे पास पैसे नहीं है, पर सपना है!"
I don't have time to sleep.,मेरे पास सोने के लिये वक्त नहीं है।
"I don't know how, but she did it.",पता नहीं कैसे पर उसने कर दिया।
"I don't know how, but you did it.",पता नहीं कैसे पर तुमने कर दिया।
I don't know if he knows it.,मुझे नहीं पता कि उसको पता है कि नहीं।
I don't know if I'll have time to do it.,मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।
I don't know if she will come.,मुझे नहीं पता कि वह आएगी कि नहीं।
I don't know if she will go there with me.,मुझे नहीं पता वह मेरे साथ वहाँ जाएगी कि नहीं।
I don't know what Tom knows.,मुझे नहीं पता कि टॉम को क्या पता है।
I don't know when Bob came to Japan.,बॉब जापान कब आएं मुझे पता नही।
I don't know when Bob came to Japan.,बॉब जापान कब आएं यह मैं जानता नही।
I don't know when Bob came to Japan.,बॉब जापान कब आया मुझे पता नही।
I don't know when Bob came to Japan.,बॉब जापान कब आया यह मैं जानता नही।
I don't know.,मुझे नहीं पता।
I don't know.,मुझे नहीं मालूम।
I don't like a novel without a hero.,मुझें बिना नायकवाले उपन्यास पसंद नहीं हैं।
I don't like being made a fool of.,मुझे मूर्ख बनना पसंद नहीं है।
I don't like school.,मुझे पाठशाला पसंद नहीं है।
I don't like studying in this heat.,मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।
I don't like teachers who like students who don't like asking questions.,सवाल पूछना न पसंद करने वाले विद्यार्थियों को पसंद करने वाले शिक्षक मुझे पसंद नहीं।
I don't like this candy.,यह कैंडी मुझे पसंद नहीं हैं।
"I don't like this song. ""I don't, either.""",“मुझे यह गाना पसंद नहीं है।” “मुझे भी नहीं।”
I don't like this store.,मुझे यह दुकान पसंद नहीं है।
I don't like to drink coffee.,मुझे कॉफ़ी पीना पसंद नहीं।
"I don't like using dildos, I prefer real cocks.","मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।"
I don't live in Boston.,मैं बोस्टन में नहीं रहता हूँ।
I don't love you that much.,मैं तुम से उतना प्यार नहीं करती।
I don't make mistakes.,मैं गलतियां नहीं करता।
I don't mind waiting.,मुझे इंतज़ार करने में कोई एतराज़ नहीं है।
I don't mind waiting.,मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।
I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.,मुझे ऐसे मित्र की आवश्यकता नहीं जो मेरे साथ-साथ बदले और मेरी हां में हां भरे; ऐसा तो मेरी परछाई कहीं बेहतर कर लेती है।
I don't pay attention to gossip.,मैं गपशप पर ध्यान नहीं रखता हूँ.
I don't see any point in going if the party is almost over.,मुझे जाने मेँ कोई तुक नहिं लगता अगर पीृतिभोज लगभग समापत हो चुका हो ।
I don't think I shall get through all this work this afternoon.,मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।
I don't think it's reasonable.,मेरे विचार से यह युक्तियुक्त नहीँ है।
"I don't think, therefore I am not.","मैं सोचती नहीं, अतः मैं नहीं हूं।"
"I don't understand Chinese, but I want to learn.","मैं चीनी नहीं समझता, मगर सीखना चाहता हूं।"
"I don't understand Chinese, but I want to learn.","मैं चीनी नहीं समझती, मगर सीखना चाहती हूं।"
I don't understand this country.,मुझे यह देश समझ नहीं आता।
I don't understand this country.,मुझे यह देश समझ ही नहीं आता।
I don't want it.,नहीं चाहिए।
I don't want it.,मुझे नहीं चाहिए।
I don't want there to be any misunderstanding.,मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।
I don't want to argue with you.,मैं तुम से बहस करना नहीं चाहता।
I don't want to argue with you.,मैं तुम से बहस करना नहीं चाहती।
I don't want to buy this kind of sofa.,मुझे इस तरह का सोफ़ा नहीं खरीदना है।
I don't want to do this with you.,मैं तुम्हारे साथ ऐसा नहीं करना चाहती.
I don't want to go on my own.,मैं अकेले जाना नहीं चाहता।
I don't want to go on my own.,मैं अकेले जाना नहीं चाहती।
I don't want to go to school.,मैं स्कुल जाना नहीं चाहता हूँ।
"I don't want to lose you, Tom.","मैं आपको खोना नहीं चाहता, टॉम।"
"I don't want to lose you, Tom.","मैं आपको खोना नहीं चाहती, टॉम।"
"I don't want to lose you, Tom.","मैं तुम्हें खोना नहीं चाहता, टॉम।"
"I don't want to lose you, Tom.","मैं तुम्हें खोना नहीं चाहती, टॉम।"
I don't want to quit.,मैं छोड़ना नहीं चाहता।
I don't want to quit.,मैं छोड़ना नहीं चाहती।
I don't want to refute this outworn idea.,मैं उसके घिसे-पिटे विचार का खंडन नहीं करना चाहता हूं।
I don't want to spend more than $10.,मैं दस डॉलर से ज़्यादा नहीं खर्चना चाह्ता हूँ।
"I don't want to stay here anymore, Tom.","मुझे यहां और नहीं रहना है, टॉम।"
I don't want to talk to you anymore.,मैं आपके साथ अब और बात नहीं करना चाहता.
I don't want your pity.,मुझे तुम्हारी दया नहीं चहिए।
I don't want your stuff.,मुझे तुम्हारा सामान नहीं चाहिए।
I don't want your stuff.,मुझे तेरा सामान नहीं चाहिए।
I don't work for her.,मैं उसके लिये काम नहीं करता।
I doubt his ability to do the job.,मुझे उसके काम करने की योग्यता पर भरोसा नहीं है।
I do worry.,चिंता तो में करता ही हूँ।
I do worry.,चिंता तो में करती ही हूँ।
I drank too much. My face is swollen!,मैंने कुछ ज़्यादा ही पी लिया है। मेरा पूरा चेहरा सूज गया है!
I drank too much. My face is swollen!,मैंने कुछ ज़्यादा ही पी लिया है। मेरा पूरा मूँह सूज गया है!
I'd rather not meet him.,हो सके तो मैं उससे मिलना नहीं चाहूँगा।
I'd rather not meet him.,हो सके तो मैं उससे मिलना नहीं चाहूँगी।
I drink coconut water in the morning.,मैं सुबह-सुबह नारियल-पानी पीता हूँ।
I drink coffee.,मैं कॉफ़ी पीती हूँ।
"I drink tea, too.",मैं चाय भी पीता हूँ।
"I drink tea, too.",मैं चाय भी पीती हूँ।
I drink.,मैं पीता हूँ।
I eat cheese.,मैं चीज़ खाता हूँ।
I eat cheese.,मैं चीज़ खाती हूँ।
I eat cucumber.,मैं खीरा खाता हूँ।
I eat cucumber.,मैं खीरा खाती हूँ।
I eat tofu.,मैं टोफ़ू खाता हूँ।
I explained the rule to him.,मेने उसे नियम समझाया।
I fainted.,मैं बेहोश हो गया।
I feel cold. Do you mind closing the window?,मुझे ठंड लग रही है। खिड़की बंद कर सकते हो क्या?
I feel like I'm being drawn into your eyes.,मुझे लगता है कि मैं तुम्हारी आँखों में खिंचा जा रहा हूँ।
I feel like vomiting.,मुझे उल्टी आ रही है।
I feel sad when I think about all the people who die in wars.,मुझे दुख होता है जब मैं उन लोगों की सोचता हों जो जंग में अपनी जान खो देते हैं।
I feel that it will rain.,लगता है बारिश होगी।
I fell down the stairs in my haste.,अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।
I fell in love with her.,मुझे उससे प्यार हो गया।
I felt bad.,मुझे बुरा लगा।
I felt hungry after the long walk.,मुझे लम्बी सैर के बाद भूख लग आई।
"If I am a fool, you are another.",अगर मैं मूर्ख हूँ तो तुम भी हो।
"If I'd wanted your opinion, I'd have asked for it.",यदि मुझे आपकी राए चाहिए होती तो मैनें मांग लेनी थी।
"If I ever turn into an alcoholic, I'll surely go on vacation to Antalya.",यदि मैं कभी शराब का आदी हुआ तो शर्तिया छुट्टी लेकर अंताल्या जाऊंगा।
"If I had known her address, I would have written to her.","अगर मुझे उसका पता पता होता, तो मैंने उसे चिट्ठी लिखी हुई होती।"
I finished all my work early.,मैंने अपना सारा काम जल्दी ख़तम कर दिया।
"If it isn't a bad, dirty, or wrong thing, then it's alright.","यदि वह बुरा, गंदा या गलत न हो तो ठीक है।"
"If it snows tomorrow, I'll build a snowman.",अगर कल बर्फ़ गिरी तो मैं स्नोमैन बनाऊंगा।
"If it snows tomorrow, I'll build a snowman.",अगर कल बर्फ़ गिरी तो मैं स्नोमैन बनाऊंगी।
I fixed the car yesterday.,मैंने गाड़ी को कल ठीक किया था।
I fly into a rage easily.,मैं जल्दी गुस्सें में आ जाता हूँ.
"If my boy had not been killed in the traffic accident, he would be a college student now.","अगर मेरा बेटा ट्रेफ़िक हादसे में नहीं मारा गया होता, तो वह अभी कॉलेज जा रहा होता।"
I followed the deer's tracks.,मैंने हिरण के पैरों के निशानों का पीछा किया।
If only I had known the answer yesterday!,काश मुझे यह जवाब कल पता होता!
I forgave Tom.,मैंने टॉम को माफ़ किया।
I forget his name.,मैं उनका नाम भूलती हूं।
I forget his name.,मैं उसका नाम भूलती हूं।
I found him.,मुझे वह मिला।
I found him.,वह मुझे मिल गया।
I found it impossible to do the work in one day.,मुझे एक दिन में काम खतम करना नामुमकिन लगा।
I found little amusement in reading.,मुझे किताबें पढ़ने से बिलकुल भी आनन्द नहीं आता था।
I found out where she was.,मुझे पता लगा कि वह कहाँ थी।
I found somebody.,मुझे कोई मिला।
I found the cage empty.,मुझे पिंजरा खाली मिला।
I found this test difficult.,मैंने इस परीक्षण को मुश्किल पाया।
"If possible, I'd like to know the name of the author.",अगर हो सके तो में लेखक का नाम जानना चाहूंगा।
"If possible, I'd like to know the name of the author.",अगर हो सके तो में लेखक का नाम जानना चाहूंगी।
"If possible, I'd like to travel around the world.",अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।
"If Tom dies, what'll we do?","अगर टॉम मर गया, तो हम क्या करेंगे?"
I fucked lots of friends.,मैंने कई दोस्तों को चोद डाला।
I fully believe that you are innocent.,मुझे पक्का विश्वास है कि तुम निर्दोश हो।
"If you are hungry, you can eat the bread.",अगर भूख लगी है तो ब्रेड खा सकते हो।
"If you aren't going, I'm not going either.","अगर तुम नहीं जाओगे, तो फ़िर मै भी नहीं जाउंगी।"
"If you go to that supermarket, you can buy most things you use in your daily life.",उस सूपरमार्केट में तुम लगभग कोई भी रोजाने में इस्तेमाल होने वाला सामान ख़रीद सकते हो।
"If you have a time, could you translate some sentences below, please?","अगर आपके पास थोड़ा समय हो, तो कृपया निम्न वाक्यों का अनुवाद करेंगे?"
"If you have time, please drop in on us.",अगर आपके पास समय हो तो हमसे मिलने आईएगा।
"If you help me learn English, I'll help you learn Japanese.",अगर तुम ने मेरी अंग्रेज़ी सीखने में मदद की तो में तुम्हारी जापानी सीखने में मदद करूँगी।
"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.","जिनसे प्रेम करते हैं, उन्हें जाने दें, वे यदि लौट आते हैं तो वे सदा के लिए आपके हैं। और अगर नहीं लौटते हैं तो वे कभी आपके थे ही नहीं।"
"If you shout from the top of a cliff, you can hear the echo of your voice.",अगर तुम ऊँची चट्टान पर जाकर चिल्लाओ तो अपनी आवाज़ की गूँज सुन सकते हो।
"If you want a place in the sun, you've got to put up with a few blisters.",आप आराम की ज़िंदगी चाहते हैं तो आप को कुछ परेशानी तो उठानी ही होगी।
"If you were Tom, what would you want?",अगर आप टॉम होते तो आपको क्या चाहिए होता?
"If you were Tom, what would you want?",अगर तुम टॉम होती तो तुम्हें क्या चाहिए होता?
"If you were Tom, what would you want?",तुम अगर टॉम होते तो तुम क्या चाहते?
"If you wish, you can go.",अगर आप चाहो तो आप जा सकते हैं।
"If you would thoroughly know anything, teach it to others.",आप किसी चीज़ का विशद ज्ञान हासिल करना चाहते हैं तो इसे दूसरों को सिखाने लगिए
I gave a lot of cheese.,मैंने बहुत सारा चीज़ दिया।
I gave him a gold watch.,मैंने उन्हें एक सोने की घड़ी दी।
I get tired.,मैं थक जाता हूँ।
Ignorance and error are as necessary to life as bread and water.,अज्ञानता और ग़लती ज़िन्दगी में रोटी और पानी की तरह आवश्यक हैं।
I got an old Toyota from my uncle.,मुझे मेरे चाचा से एक पुरानी टोयोटा मिली।
I got an old Toyota from my uncle.,मुझे मेरे मामा से एक पुरानी टोयोटा मिली।
I go there once a month.,मैं वहाँ महीने में एक बार जाती हूँ।
I got into trouble.,मैं मुसीबत में पड़ गई।
I got lost in the forest.,मैं जंगल में खो गया।
I got married five years ago on this very day.,मेरी शादी पाँच साल पहले इसी दिन पर हुई थी।
I go to the office by bicycle except on rainy days.,"उन दिनों के सिवाय जब बारिश हो रही होती है, मैं साईकल चलाकर काम पर जाता हूँ।"
I go to work by car every day.,में रोज कार से दफ्तर जाता हूं.
I got Tom to do it.,मैंने टॉम से करवाया।
"I got up early, so that I could catch the first train.","मैं जल्दी उठा था, क्योंकि मुझे पहली ट्रेन पकड़नी थी।"
I got very sleepy.,मुझे नींद आ गई।
I guess I'm not as smart as you.,मुझे लगता है मैं आपकी तरह चुस्त नहीं हूँ.
I had a fight with my older brother yesterday.,मेरा कल मेरे भाई के साथ झगड़ा हुआ था।
I had a letter from her yesterday.,मेरे पास कल उसकी एक चिट्ठी आई।
I had a little fever.,मुझे थोड़ा बुखार था।
I had a little fever.,मुझे हल्का बुखार था।
"I had a part-time job as a hotel maid, but I didn't like it very much.","में होटेल मे पार्ट-टाइम नौकरानी थी, पर मुज़े वो पसंद नहीं था"
I had bought it the week before.,मैंने उसे पिछले हफ्ते ख़रीदा था.
I had gone there.,मैं वहाँ गई थी।
I had hardly reached the school when the bell rang.,मैं बस स्कूल पहुँचा ही था कि घंटी बज गई।
I had met her many times before then.,मैं उससे पहले कई बार मिल चुका था।
I had naan with the tea for breakfast.,मैने सुबह के नाश्ते में चाय के साथ नान ली।
I had some really weird dreams tonight.,आज रात मुझे बड़े अजीब सपने आये।
I had to do everything on my own.,मुझे सब कुछ खुद से करना पड़ा।
I hate you with all of my heart.,मैं आप से पूरे दिल से नफ़रत करता हूं।
I hate you with all of my heart.,मैं आप से पूरे दिल से नफ़रत करती हूं।
I hate you with all of my heart.,मैं तुम से पूरे दिल से नफ़रत करती हूं।
I have a bad pain in my back.,मुझे पीठ में बुरी तरह से दर्द हो रहा है।
I have a date with her tonight.,मेरी उसके साथ आज रात डेट है।
I have a date with Tom tonight.,मेरी आज रात टॉम के साथ डेट है।
I have a dictionary.,मेरे पास एक शब्दकोश है।
I have a dog.,मेरे पास एक कुत्ता है।
I have a Facebook account.,मेरे पास फ़ेसबुक खाता है।
I have a fever.,मुझे बुख़ार है।
I have a gun.,मेरे पास एक बंदूक है।
I have a gut feeling that Tom won't pass the test.,मुझे नहीं लगता कि टॉम टेस्ट में पास होगा।
I have a gut feeling that Tom won't pass the test.,मुझे नहीं लगता कि टॉम परीक्षा में उत्तीर्ण होगा।
I have a hard-on for her.,मेरा लुंड उसके लिए खड़ा है।
I have a headache.,मुझे सिरदर्द हो रहा है।
I have a headache.,मेरे सिर में दर्द हो रहा है।
I have a horse.,मेरे पास एक घोडा है।
I have a key.,मेरे पास एक चाबी है।
I have a lot of work to do!,बहुत सारा काम है करने को!
I have a lot of work to get through today.,मेरे पास आज बहुत काम है।
I have an important call to make.,मुझे एक जरूरी कॉल करनी है ।
I have a stomachache.,मुझे पेट में दर्द हो रहा है।
I have been to Kyoto.,मैं क्योटो गया हुआ हूँ।
I have been to London before.,मैं पहले भी लन्दन जा चुकी हूँ.
I have been writing letters all morning.,मैं पूरी सुबह से चिट्ठियाँ लिख रहा हूँ।
I have been writing letters all morning.,मैं पूरी सुबह से चिट्ठियाँ लिख रही हूँ।
I have black eyes.,मेरे पास काली आँखें हैं।
I have caught a cold.,मुझे ज़ुकाम हो गया है।
I have evidence.,मेरे पास सबूत है।
I have got your name from my friend.,मुझे आपका नाम अपने दोस्त से मिला है।
I have just cleaned my room.,मैंने अपना कमरा अभी अभी साफ़ किया है।
I have little money now.,अब मेरे पास बहुत थोड़े पैसे हैं।
I have lost my keys.,मेरी चावी गुम हो गयी है।
I have lots of work to clear up by the weekend.,मुझे इस हफ़्ते बहुत सारा काम कर के खतम करना है।
I have made my decision.,मैं फ़ैसला कर चुका हूँ।
I have never come across such a stubborn person.,इतने अड़ियल व्यक्ति से मेरी कभी भी मुलाकात नहीं हुई है।
I have no idea how he escaped.,मुझे नहीं पता वह कैसे निकल भागा।
I have no money with me.,मेरे पास अभी कोई पैसे नहीं हैं।
I have no place to sleep tonight.,मेरे पास आज रात सोने के लिए जगह नहीं है।
I have nothing to say on this matter.,मुझे इस विषय पर कुछ नहीं कहना है।
I have nothing to say with regard to that problem.,मुझे इस विषय पर कुछ नहीं कहना है।
I have nothing to say with regard to that problem.,मुझे इस समस्या के बारे में कुछ नहीं कहना है।
I have no time to help you with the work.,मेरे पास तुम्हारी काम में मदद करने के लिए समय नहीं है।
I have no time to see you.,मेरे पास तुमसे मिलने के लिए समय नहीं है।
I have not seen him in months.,मैंने उसे महीनों से नहीं देखा है।
I have not seen him since then.,मैंने उसे तबसे नहीं देखा है।
I haven't eaten yet.,मैंने अभी तक नहीं खाया है।
I haven't found Tom yet.,मुझे अभी तक टॉम मिला नहीं है।
I haven't got in touch with him for a long time.,मेरा उसके साथ काफ़ी देर से सम्पर्क नहीं हुआ है।
I haven't had a chance to see the movie yet.,मुझे अभी तक उस फ़िल्म को देखने का मौका नहीं मिला है।
I haven't heard that name in years.,मैंने वह नाम कई सालों से नहीं सुना है।
I haven't met him.,मेरी उससे मुलाकात नहीं हुई है।
I haven't seen them anywhere.,मैने उन्हें कहीं भी नहीं देखा।
I haven't seen Tom lately.,मैंने टॉम को हाल में नहीं देखा है।
I haven't seen Tom yet.,मैंने अभी तक टॉम को नहीं देखा है।
I have searched internet to learn Portuguese.,मैने पोर्तुगीज का ज्ञान लेने के लिये इंटरनेट का उपयोग किया है।
I have seen her three times.,मैंने उसे तीन बार देखा है।
I have to go home already.,मुझे अभी घर जाना है.
I have to go now.,मुझे अभी जाना है।
I have to go to sleep.,मुझे सोना है।
I have to go to the bank.,मुझे बैंक जाना है।
I have to learn many words and phrases by heart.,मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।
I have to put the baby to bed.,मुझे बच्चे को सुलाना है।
I have to see a dentist.,मुझे दंत चिकित्सक से मिलना है।
I have tried innumerable times to contact him.,मैं बहुत बार उससे सम्पर्क करने की कोशिश कर चुकी हूँ।
"I have two dogs, three cats, and six chickens.","मेरे पास दो कुत्ते, तीन बिल्लियाँ और छः मुर्गियां हैं।"
"I have two sisters, both of whom are married.",मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।
I heard a noise.,मुझे कोई आवाज़ सुनाई दी।
I heard someone call my name from behind.,मैंने किसी को पीछे से मेरे नाम पुकारते हुए सुना।
I heard that Carol and Will have split up.,मैंने सुना है कि कैरल और विल अब एक साथ नहीं हैं।
"I heard that now, he works in Saudi Arabia.",मैंने सुना है कि अब वह सउदी अरब में रहता है।
I hear that she's a famous actress.,मैंने सुना है कि वे मश्हूर अभिनेत्री हैं।
I hear you're getting married again.,सुना है तुम फिर से शादी कर रहे हो।
I helped Tom move the furniture.,मैंने टॉम को फ़र्नीचर हटाने में मदद की।
I hope he won't be disappointed.,मुझे आशा है कि वह निराश नहीं होगा।
I hope that you are proud of me.,मुझे आशा है कि आप को मुझ पर गर्व है।
I inquired after him.,मैं उसके बारे में पूछ-ताछ की।
I just cut my finger.,मैंने अपनी ऊँगली काट ली।
I just downloaded a lot of files.,मैंने अभी-अभी बहुत सारी फाइलें डाउनलोड की हैं।
I just saw Tom.,मैंने अभी टॉम को देखा।
I just want to talk a minute.,मैं बस आपसे एक मिनट बात करना चाहता हूं।
